hhnum,0.25 mi,0.50 mi,1.0 mi,2.0 mi,5.0 mi,10.0 mi,15.0 mi,30.0 mi,0.25 mi_ff,0.50 mi_ff,1.0 mi_ff,2.0 mi_ff,5.0 mi_ff,10.0 mi_ff,15.0 mi_ff,30.0 mi_ff,nearsnap_dist,nearsnap_stype,nearff_dist
101652,0,0,16,49,173,265,312,385,0,0,7,38,105,176,209,221,0.52,BB,0.68
101656,0,1,3,18,161,283,311,438,0,0,0,8,105,186,210,221,0.36,CS,1.64
101661,1,5,10,17,55,153,216,407,2,5,7,8,44,121,155,212,0.19,SG,0.11
101663,2,6,18,58,143,180,220,497,0,0,5,24,87,113,122,135,0.15,SS,0.69
101664,0,0,0,0,0,11,23,288,0,0,0,0,0,13,14,19,5.08,SS,5.08
101668,1,1,1,1,1,1,2,5,0,0,0,0,0,0,0,0,0.2,CO,30.38
101669,0,1,10,29,84,167,290,1727,0,2,13,23,67,125,227,352,0.48,CS,0.48
101670,0,1,3,3,3,6,23,85,0,0,1,2,2,2,14,19,0.39,CO,0.95
101678,0,0,4,24,162,283,315,428,0,0,5,17,101,186,215,221,0.89,MG,0.91
101680,2,2,7,17,85,96,99,108,5,8,9,17,71,89,89,90,0.14,CS,0.07
101682,0,2,3,12,18,22,34,196,0,0,0,11,12,12,13,77,0.47,FV,1.15
101690,3,4,10,25,144,494,990,1819,0,0,0,2,38,103,186,196,0.12,CS,1.34
101693,0,1,1,2,9,59,105,422,0,0,0,0,0,24,58,207,0.32,FV,5.12
101697,3,11,28,126,259,330,548,1517,0,5,6,24,88,128,163,288,0.1,CS,0.43
101703,0,0,0,0,14,71,356,797,0,0,0,0,10,11,41,80,2.33,CO,4.66
101705,2,2,7,22,118,153,160,216,0,0,18,25,97,122,125,131,0.2,CS,0.61
101709,0,0,6,21,51,71,89,200,0,1,5,25,47,52,53,78,0.72,CS,0.47
101712,0,1,7,22,30,33,35,36,0,0,5,19,19,19,19,19,0.42,LG,0.84
101713,0,0,0,0,13,99,266,1179,0,0,0,0,7,35,69,110,2.01,SG,2.15
101718,1,2,6,18,128,422,1081,1945,0,0,1,9,66,202,441,573,0.07,CS,0.85
101719,3,13,29,45,66,90,125,280,0,2,7,17,38,45,52,53,0.06,BB,0.38
101729,1,4,6,13,129,393,635,855,1,4,12,26,133,315,451,553,0.24,CO,0.21
101730,2,3,12,20,21,25,41,510,0,0,1,10,12,12,12,51,0.16,MG,0.67
101738,1,2,10,21,189,673,850,1084,0,2,9,14,99,240,333,355,0.21,MG,0.4
101739,0,0,0,0,0,6,12,91,0,0,0,0,0,2,4,19,5.08,SM,9.47
